search_word,username,userid,location,tweet
Virataparvam,FilmyFocus,2856430632,"Hyderabad, Telangana","Dhanush’s Rowdy Baby hits 1 Billion views.!

#SaiPallavi, #ActressSaiPallavi #ShyamSingaRoy, #Vedhalam, #VirataParvam @Sai_Pallavi92 #LoveStory"
Virataparvam,Amarenderchada,1056088233359130624,"Hyderabad, India","#ranadaggubati has been cured from all aliments soon starting #hiranyakashyap 

#virataparvam shoot going on"
Virataparvam,Nanicharan17,964573788011577344,Chennai,"QUEEN😘, Eagerly Waiting For #LoveStory &amp; #virataparvam &amp; #ShyamsingaRoy ♥️🖤 https://t.co/aAvCYERWZh"
Virataparvam,88shanmukh88,746996221986869248,"Hyderabad, India","@Sai_Pallavi92 ❤️😍

Eagerly waiting for both #Virataparvam &amp; #LoveStory https://t.co/GG2MjV5Vdl"
Virataparvam,Sai_Pallaviii92,1278995662000906240,,"I wish you all a very Happy Deepavali ❤️
 @Sai_Pallavi92 #saipallavi #LoveStory #VirataParvam https://t.co/tYvCa7PJPs"
Virataparvam,uttamsrinivas26,1263116185148653570,"Hyderabad, India","@VenuUdugulaProd @ahavideoIN @gnanashekarvs @sreekar_prasad @venuudugulafilm @venuudugulafilm ...........The life style of common people ....depicts in your stories .....
Inspired by You ...... waiting for #VirataParvam .......and #Maidanam ♥️♥️"
Virataparvam,MoviesUpdatez,2575210722,,.@RanaDaggubati starts shooting for #VirataParvam https://t.co/SZlvynK4Bw
Virataparvam,FilmyFocus,2856430632,"Hyderabad, Telangana","Rana Daggubati back to the shoot after ages.!

@RanaDaggubati #Hiranyakashyapa, #Miheeka, #MiheekaBajaj, #Rana, #RanaDaggubati, #Virataparvam"
Virataparvam,kayaldevaraj,1165075816822140928,,"@RanaDaggubati excited about stepping out for an outdoor shoot 

#RanaDaggubati #Tollywood #Aranya #VirataParvam https://t.co/DAOxFUgUlt"
Panni+Kutty,its_Kamal_vj,874912743056449537, 💖,@Itz_Indhu @Harish_D_psycho @Dhanush_Saravan @Innocent_Boy_03 @Mersalarasan25 @krish_yogesh @Dhanush_mani_ @Dhanush44707899 @Dhanushm143 @Dfan_Arun 😹😹😍😍😘 luv u too panni kutty
Panni+Kutty,its_Kamal_vj,874912743056449537, 💖,@Itz_Indhu @dhanushkraja 😹😹😹😍😍😍 Thanks panni kutty 😂❣️ no one can replace u in my life
Panni+Kutty,Lurve_Love_Life,1177958925821366272,"Selangor, Malaysia",Thank you so much da jannah kutty. Neeyum Nalla succeed panni varanum life le. I wish you a tremendous career n happy life 😘❤️ https://t.co/ZFskmZOeLt
Panni+Kutty,Master_Harishvj,982922107750301696,"Kingston upon Thames, London",@AbiNandhiniii @Prince_TVFC Nee than firstu time waste pannatha panni Kutty 😾
Panni+Kutty,evolvingpotato,3013895915,,@Ajumplakdibampa OMG. How to deal with this panni kutty 😅😂
Panni+Kutty,Paulste60252193,951788797703815168,,Heyy panni kutty.. Fr being a airforce officer Height is nt required.. Yedhuna paesno nu yedhedho olaraadha.. Née asinga pattachi.. Even you knw tht.. 🤭 https://t.co/5YVh6KNsDc
Cobra,Hardedged,748319249987428352,"Michigan, USA",@retrocrush_tv @worldofcrap cobra was boss as fuck
Cobra,BauwerV,1056528247595372544,Walmart,"@1lastround @Rickaerian No homie 😂😂😂. This is just some random school fight. Plus the Cobra Kai school fight was choreographed, obviously."
Cobra,MA_Conlin,2338703196,,@gtconway3d I’d give her the job of cobra wrangler in a second
Cobra,DudesTheSickest,513742966,PA,All of the fights in Cobra Kai are just the results of huge miscommunications change my mind
Cobra,BIPCNottingham,994188792721534977,"Nottingham, England","Free access to online business resource COBRA - access from home with your @readingnottm library card for how-to guides, legal info, sector news and trends and much more: https://t.co/nZmgu0snQy #BIPCStartupDay https://t.co/o2S3Em6YNB"
Cobra,KarlaHarmer,448383384,"Austin, TX","Have you checked out Cobra Kai on #Netflix ? Yes.. Cobra Kai is back! If you loved The Karate Kid... you are going to love Cobra Kai even more!

#CobraKai https://t.co/fLfrGPrSXs"
